City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
124,Tiksi,RU,2022-03-08 17:57:25,71.6872,128.8694,-26.0,100,98,0.78
125,Nushki,PK,2022-03-08 17:57:25,29.5542,66.0215,66.88,39,71,13.06
126,Georgetown,MY,2022-03-08 17:54:51,5.4112,100.3354,76.95,99,40,3.44
127,Khatanga,RU,2022-03-08 17:57:26,71.9667,102.5,-6.18,82,81,12.1
128,Beringovskiy,RU,2022-03-08 17:57:26,63.05,179.3167,25.57,95,100,6.58
129,Morogoro,TZ,2022-03-08 17:57:27,-6.8167,37.6667,75.42,81,75,4.0
130,Gambela,ET,2022-03-08 17:57:27,8.25,34.5833,92.55,23,61,3.38
131,Talcahuano,CL,2022-03-08 17:57:28,-36.7167,-73.1167,64.08,59,100,13.8
132,Vila Velha,BR,2022-03-08 17:57:28,-20.3297,-40.2925,87.75,58,20,14.97
133,Namatanai,PG,2022-03-08 17:57:28,-3.6667,152.4333,78.57,82,98,6.51
134,Arraial Do Cabo,BR,2022-03-08 17:57:29,-22.9661,-42.0278,89.56,55,0,21.85
135,Yeppoon,AU,2022-03-08 17:57:29,-23.1333,150.7333,78.58,93,27,9.37
136,North Bend,US,2022-03-08 17:55:12,43.4065,-124.2243,45.16,93,40,9.22
137,Safaga,EG,2022-03-08 17:57:30,26.7292,33.9365,71.55,58,100,2.77
138,Roald,NO,2022-03-08 17:58:31,62.5833,6.1333,41.09,80,0,8.05
139,Sitka,US,2022-03-08 17:58:31,57.0531,-135.33,35.06,59,88,5.37
140,Chokurdakh,RU,2022-03-08 17:58:31,70.6333,147.9167,-32.04,100,28,2.77
141,Tasiilaq,GL,2022-03-08 17:58:32,65.6145,-37.6368,9.12,65,71,5.5
142,Avarua,CK,2022-03-08 17:58:32,-21.2078,-159.775,80.65,89,75,9.22
143,Albanel,CA,2022-03-08 17:58:33,48.8832,-72.4487,14.14,62,94,24.16
144,Olga,RU,2022-03-08 17:58:33,43.7444,135.2892,24.64,77,33,4.76
145,Yanam,IN,2022-03-08 17:58:33,16.7333,82.2167,72.54,80,2,1.61
146,Pisco,PE,2022-03-08 17:55:00,-13.7,-76.2167,78.85,65,20,6.91
147,Kaitangata,NZ,2022-03-08 17:58:34,-46.2817,169.8464,55.04,91,83,5.91
148,Fecamp,FR,2022-03-08 17:58:35,49.7579,0.3746,55.11,74,10,12.01
149,Yellowknife,CA,2022-03-08 17:58:35,62.456,-114.3525,-1.59,78,20,17.27
150,Morant Bay,JM,2022-03-08 17:58:36,17.8815,-76.4093,82.65,64,2,13.33
